,n_trials,n_accepts,p_acc,duration,N,T,d
0,1000,93,0.09300000220537186,3.294079065322876,100,100,1
1,1000,0,0.0,3.127553939819336,100,100,2
2,1000,0,0.0,2.9865753650665283,100,100,3
3,1000,317,0.31700000166893005,2.9670121669769287,200,100,1
4,1000,24,0.024000000208616257,3.340985059738159,200,100,2
5,1000,0,0.0,3.4242780208587646,200,100,3
6,1000,618,0.6180000305175781,3.976961612701416,500,100,1
7,1000,200,0.20000000298023224,5.3824334144592285,500,100,2
8,1000,19,0.01900000125169754,5.153624534606934,500,100,3
9,1000,766,0.7660000324249268,6.735856533050537,1000,100,1
10,1000,437,0.43700000643730164,10.234284162521362,1000,100,2
11,1000,127,0.12700000405311584,10.083539485931396,1000,100,3
12,1000,86,0.0860000029206276,5.861780166625977,250,250,1
13,1000,0,0.0,6.738867998123169,250,250,2
14,1000,0,0.0,7.025118350982666,250,250,3
15,1000,314,0.3140000104904175,8.298064947128296,500,250,1
16,1000,21,0.021000001579523087,11.256930351257324,500,250,2
17,1000,0,0.0,10.91678237915039,500,250,3
18,1000,616,0.6160000562667847,20.215452194213867,1250,250,1
19,1000,198,0.1980000138282776,35.38725733757019,1250,250,2
20,1000,17,0.017000000923871994,35.26221585273743,1250,250,3
21,1000,765,0.76500004529953,60.873929262161255,2500,250,1
22,1000,434,0.43400001525878906,111.2612988948822,2500,250,2
23,1000,125,0.125,111.08736729621887,2500,250,3
24,1000,88,0.08800000697374344,15.135390281677246,500,500,1
25,1000,0,0.0,21.315126657485962,500,500,2
26,1000,0,0.0,20.673076152801514,500,500,3
27,1000,316,0.3160000145435333,29.14625072479248,1000,500,1
28,1000,19,0.01900000125169754,46.15494728088379,1000,500,2
29,1000,0,0.0,45.41749119758606,1000,500,3
30,1000,615,0.6150000095367432,120.78075194358826,2500,500,1
31,1000,200,0.20000000298023224,221.44304752349854,2500,500,2
32,1000,17,0.017000000923871994,221.16559767723083,2500,500,3
33,1000,765,0.76500004529953,439.6853196620941,5000,500,1
34,1000,436,0.4360000193119049,958.870858669281,5000,500,2
35,1000,124,0.12400000542402267,958.7879064083099,5000,500,3
36,1000,88,0.08800000697374344,57.107850790023804,1000,1000,1
37,1000,0,0.0,90.82383322715759,1000,1000,2
38,1000,0,0.0,89.74958395957947,1000,1000,3
39,1000,315,0.3150000274181366,161.62462043762207,2000,1000,1
40,1000,20,0.020000001415610313,282.07855105400085,2000,1000,2
41,1000,0,0.0,281.07492303848267,2000,1000,3
42,1000,614,0.6140000224113464,878.8905420303345,5000,1000,1
43,1000,198,0.1980000138282776,1917.2018237113953,5000,1000,2
44,1000,17,0.017000000923871994,1918.7213711738586,5000,1000,3
45,1000,767,0.7670000195503235,3436.012719631195,10000,1000,1
46,1000,438,0.43800002336502075,7053.632958650589,10000,1000,2
47,1000,125,0.125,7040.364608287811,10000,1000,3
